imagen_path,departamento,fecha_procesamiento,AP,APB SÚMATE,CODIGO MESA,ELECTORES HABILITADOS,FP,LIBRE,LYP ADN,MAS-IPSP,MESA,MORENA,PAPELETAS EN ÁNFORA,PAPELETAS NO UTILIZADAS,PDC,UNIDAD,VOTOS BLANCOS,VOTOS NULOS,VOTOS VÁLIDOS
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Cordoba/IPEM Nº 147 Manuel Anselmo Ocampo/mesa_2_104954.jpg,IPEM Nº 147 Manuel Anselmo Ocampo,,AP MESA: 2,APB SÚMATE MESA 2,3,3,FP A3,LIBRE MESA: 2,LYP ADN MESA: 2,MAS-IPSP MORALE,2,MORENA 830,10495,830,PDC 825,UNIDAD MESA: 2,10,825,825
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Cordoba/IPEM Nº 147 Manuel Anselmo Ocampo/mesa_1_104944.jpg,IPEM Nº 147 Manuel Anselmo Ocampo,,AP 0 1 9,APB SÚMATE MOSA:1,9,3,FP 0.9,LIBRE 0.9,LYP ADN APB SUMATE,MAS-IPSP 0.001,9,MORENA 0.9,97,9,PDC 019,UNIDAD 006,94,97,69
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Cordoba/IPEM Nº 86 Gabriela Mistral/mesa_1_104814.jpg,IPEM Nº 86 Gabriela Mistral,,AP 0.10,APB SÚMATE 002,1,3,FP 0.2,LIBRE 0.29,LYP ADN 0.10,MAS-IPSP 0.2,1,MORENA 100,21,2,PDC 0.21,UNIDAD 0.21,45,41,103
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Cordoba/IPEM Nº 86 Gabriela Mistral/mesa_8_104884.jpg,IPEM Nº 86 Gabriela Mistral,,AP 002,APB SÚMATE 007,8,3,FP 0900,LIBRE 0.24,LYP ADN APB SOMATE,MAS-IPSP 000,8,MORENA 0.38,38,20,PDC 003,UNIDAD 002,0,4,14
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Cordoba/IPEM Nº 86 Gabriela Mistral/mesa_4_104844.jpg,IPEM Nº 86 Gabriela Mistral,,AP 0.84,APB SÚMATE 0930,4,3,FP 0.84,LIBRE A3,LYP ADN MESA 4,MAS-IPSP 0.84,4,MORENA 04,45,84,PDC 04,UNIDAD 04,84,84,84
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Cordoba/IPEM Nº 86 Gabriela Mistral/mesa_3_104834.jpg,IPEM Nº 86 Gabriela Mistral,,AP 500,APB SÚMATE NOV 580,790,,FP APRIL 7,LIBRE EVOLUTION,LYP ADN TVENTRY,MAS-IPSP WWW.GOV,,MORENA 800,0,800,PDC 00,UNIDAD VADO,,0,
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Cordoba/IPEM Nº 86 Gabriela Mistral/mesa_6_104864.jpg,IPEM Nº 86 Gabriela Mistral,,AP 020,APB SÚMATE APRIL 4,,3,FP 007,LIBRE 0.14,LYP ADN APS COMATE,MAS-IPSP 0.94,6,MORENA 13.00,45,45,PDC 0.49,UNIDAD 008,34,37,34
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Cordoba/IPEM Nº 86 Gabriela Mistral/mesa_5_104854.jpg,IPEM Nº 86 Gabriela Mistral,,AP A3,APB SÚMATE 0.68,915,3,FP 0EP,LIBRE OEP,LYP ADN OEP,MAS-IPSP 0.64,915,MORENA 480,64,64,PDC 0.68,UNIDAD MESA,14,64,64
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Cordoba/IPEM Nº 86 Gabriela Mistral/mesa_7_104874.jpg,IPEM Nº 86 Gabriela Mistral,,AP 0 5,APB SÚMATE 0816,7,3,FP 004,LIBRE 0 1,LYP ADN 0816,MAS-IPSP 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,7,MORENA 0816,816,816,PDC 012,UNIDAD 0 1,76,50,76
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Cordoba/IPEM Nº 86 Gabriela Mistral/mesa_2_104824.jpg,IPEM Nº 86 Gabriela Mistral,,AP 250,APB SÚMATE 7C8BL,7,,FP WWW.GOV,LIBRE M. COOKED MEAT,LYP ADN TVSHOL,MAS-IPSP WWW.GOV,7,MORENA 7,200,730,PDC WWW.ХРАНИ태,UNIDAD VADO,,730,
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Cordoba/C.I.C. Dispensario/mesa_1_104974.jpg,C.I.C. Dispensario,,AP 0.82,APB SÚMATE 10497.41,1,3,FP 08.00,LIBRE 08.00,LYP ADN 08.00,MAS-IPSP 08.00,1,MORENA 0.82,800,14,PDC 06,UNIDAD 001,6,82,82
